Year,State,Forest Type,Forest Area (ha)
2017.5,Northern Territory,Softwood,1.9
2017.5,Aust. Capital Territory,Softwood,7.4
2018.5,New South Wales,Softwood,306
2018.5,Victoria,Softwood,223.6
2018.5,Queensland,Softwood,195.6
2018.5,South Australia,Softwood,128.1
2018.5,Western Australia,Softwood,101.3
2018.5,Tasmania,Softwood,75.8
2018.5,Northern Territory,Softwood,1.9
2018.5,Aust. Capital Territory,Softwood,7.4
2019.5,New South Wales,Softwood,304
2019.5,Victoria,Softwood,224
2019.5,Queensland,Softwood,184.5
2019.5,South Australia,Softwood,128.3
2019.5,Western Australia,Softwood,97.7
2019.5,Tasmania,Softwood,78.5
2019.5,Northern Territory,Softwood,2.4
2019.5,Aust. Capital Territory,Softwood,8.7
2020.5,New South Wales,Softwood,292.5
2020.5,Victoria,Softwood,222.3
2020.5,Queensland,Softwood,184.5
2020.5,South Australia,Softwood,124.2
2020.5,Western Australia,Softwood,98.2
2020.5,Tasmania,Softwood,78
2020.5,Northern Territory,Softwood,1.9
2020.5,Aust. Capital Territory,Softwood,8.7
